G,Num_obs,rms,U,M,Peri,Node,i,e,n,a,Tp,Perihelion_dist,Synodic_period,Orbit_type_Apollo,Orbit_type_Atira,Orbit_type_Object with perihelion distance < 1.665 AU
0.15,220,0.30000000000000004,1.0,340.0835,356.64598,312.58788,21.67462,0.7058837,0.22148773,2.7054298,2459977.42147,0.795711,1.2898599,1,0,0
0.15,79,0.63,5.0,152.58098,156.38984,146.49914,7.84265,0.5032017,0.32699886,2.0865969,2459420.88979,1.0366178,1.4964994,0,0,0
0.15,21,0.15,8.0,89.65609,341.82788,229.88917,42.93274,0.7871208,0.26233376,2.4167585,2459545.73648,0.5144776,1.3627032,1,0,0
0.15,88,0.8200000000000001,0.0,240.03994,256.84065,200.40056,4.10661,0.6030487999999999,0.56575045,1.4478362,2460099.53708,0.5747203,2.3474831,1,0,0
0.15,19,0.24,4.0,114.05421,9.31675,84.89111,5.38903,0.4201176,0.41574756,1.7779365,2459613.16471,1.0309941,1.7295607,0,0,0
0.15,31,0.29,3.0,346.51668,85.19934,264.31705,9.46415,0.2680223,0.5469111,1.4808971,2459912.15359,1.0839837,2.2466729,0,0,0
0.15,26,0.18,3.0,261.67037,283.2402,82.49782,2.99947,0.5438891,0.21119191,2.7926587,2460353.09376,1.2737621,1.2727113,0,0,0
0.15,38,0.6000000000000001,7.0,224.22341,307.04692,154.83056,25.16635,0.44023239999999997,0.41710215,1.774085,2460213.02363,0.9930753,1.7336817999999998,1,0,0
0.15,26,0.4,7.0,55.51655,260.5381,307.57787,24.54493,0.08505979999999999,0.83555857,1.1163956,2459821.05755,1.0214352,6.5685679,0,0,0
0.15,40,0.35000000000000003,6.0,58.09267,142.03101,300.48925,28.74036,0.5453011999999999,0.7309150999999999,1.2205571,2459808.02063,0.5549858,3.8697933,1,0,0
0.15,19,0.33,6.0,338.91697,153.93338,273.32648,11.39187,0.29027159999999996,0.58797913,1.4111118999999999,2459923.35677,1.0015062,2.4787145,0,0,0
0.15,394,0.51,0.0,187.83151,30.7158,11.50549,12.48722,0.48268000000000005,0.38821001,1.8610508000000001,2460330.99319,0.9627587999999999,1.6498352,1,0,0
0.15,59,0.45,4.0,66.97523,61.58166,344.51787,6.64859,0.3990163,0.5363026,1.5003622,2459762.61672,0.9016932,2.1936269,1,0,0
0.15,3766,0.62,0.0,343.9923,231.81183,173.10478,3.84954,0.45484359999999996,0.3031618,2.1945883,2459940.3025,1.1963939,1.4442284,0,0,0
0.15,52,0.28,6.0,292.05413,246.94029,231.60215,13.55715,0.40952879999999997,0.6193780999999999,1.3630092999999999,2459997.20015,0.8048177,2.6912291,1,0,0
0.15,69,0.59,4.0,284.05665,333.93025,304.15909,3.14586,0.39222959999999996,1.47310845,0.7649732,2459939.05313,0.46492809999999996,2.0217558,0,0,0
0.15,630,0.67,0.0,152.45864,90.36877,108.64415,5.83666,0.4550935,0.39125784,1.8513734,2459497.83712,1.0088254,1.6582955,0,0,0
0.15,286,0.53,6.0,128.41577,107.9711,148.90156,19.16784,0.6445653,0.61993877,1.3621874,2459680.35731,0.48416869999999995,2.6953554,1,0,0
0.15,392,0.73,0.0,306.99325,171.47856,230.08857,12.31431,0.3292817,0.42982298,1.7389066999999998,2460010.8223,1.1663165,1.7733625,0,0,0
0.15,44,0.49,6.0,130.8046,228.30455,73.6028,5.40908,0.6991668,0.74681956,1.2031661,2459712.35112,0.3619523,4.1275411,1,0,0
0.15,55,0.53,4.0,142.72613,224.02309,184.68381,5.36436,0.2243781,0.72276119,1.2297198,2459690.02655,0.9537975999999999,3.7497465,1,0,0
0.15,87,0.85,5.0,290.7492,278.5703,181.61683,17.03101,0.6058268,0.4501464,1.6861655,2460041.34062,0.6646413,1.8406703,1,0,0
0.15,72,0.77,5.0,4.29633,29.95908,262.08147,3.45865,0.5827311,0.26353875,2.409386,2459871.19754,1.0053618,1.3649773,0,0,0
0.15,25,0.89,6.0,76.11532,148.88773,316.83175,8.78074,0.615116,0.25845384,2.4408854,2459592.99738,0.9394577,1.3554321,1,0,0
0.15,33,0.41000000000000003,6.0,292.92501,202.09725,302.13498,5.67786,0.5176125,0.31136647,2.1558646,2460102.92141,1.0399621,1.4618028,0,0,0
0.15,44,0.77,5.0,12.86158,352.02029,11.96332,5.00295,0.42218459999999997,0.29332259,2.2433948,2459843.65209,1.2962681,1.423702,0,0,0
0.15,61,0.68,7.0,159.81097,307.9475,41.6333,9.54931,0.5244709,0.3954929,1.838133,2459483.4195,0.8740857,1.6701964999999999,1,0,0
0.15,20,0.6900000000000001,7.0,119.717,126.2302,292.67031,6.28674,0.5143683,0.34373039,2.0183234,2459539.2124,0.9801618,1.535508,1,0,0
0.15,110,0.6000000000000001,6.0,73.08911,339.57231,211.40179,6.291,0.5004651,0.34861988,1.9994074,2459677.84722,0.9987737999999999,1.5472944,1,0,0
0.15,63,0.25,6.0,76.39383,96.45246,222.31948,2.20146,0.1207163,0.88560458,1.0739304,2459801.23821,0.9442895,9.8557754,1,0,0
0.15,151,0.74,0.0,76.11332,109.33062,75.25409,6.24809,0.3379318,1.07854772,0.9416939999999999,2459816.92981,0.6234657,10.6047668,0,0,0
0.15,18,0.7000000000000001,8.0,157.39743,298.92694,122.10317,20.4064,0.4324107,0.47057253,1.6370113,2459553.01928,0.9291501,1.9136707,1,0,0
0.15,27,0.9,3.0,21.16419,133.18118,185.22816,34.84363,0.1062137,0.61381608,1.3712307,2459853.0203,1.2255872,2.6509684,0,0,0
0.15,20,0.43,6.0,199.1953,113.51956,134.28104,5.37615,0.27223769999999997,1.00442308,0.9874723,2460047.59659,0.7186450999999999,52.3829501,0,0,0
0.15,47,0.25,4.0,185.31373,191.73717,212.14336,5.70353,0.5873006,0.25257063,2.478644,2460579.13343,1.0229349,1.3445537,0,0,0
0.15,48,0.39,6.0,23.34174,41.24129,66.37771,1.00383,0.5243325,0.34851329999999997,1.999815,2459820.52482,0.951247,1.5470356,1,0,0
0.15,99,0.6000000000000001,1.0,45.96337,265.75516,268.34661,6.99305,0.2033466,0.92190284,1.0455527,2459837.64293,0.8329430999999999,15.4714902,1,0,0
0.15,42,0.34,4.0,229.06884,10.83897,35.81212,14.57373,0.6564053,0.20852736,2.816398,2460515.38498,0.9676994,1.2683472,1,0,0
0.15,102,0.5,2.0,191.57689,359.93636,273.03096,9.57271,0.4567768,0.31376919000000003,2.1448447,2460424.27405,1.1651294,1.4670307,0,0,0
0.15,35,0.28,6.0,258.22371,101.74501,243.96005,5.63733,0.2415202,0.76057763,1.1886127,2460021.31447,0.9015386999999999,4.379893,1,0,0
0.15,17,0.23,6.0,13.5341,329.77814,353.31712,5.2605,0.5342428,0.27811831,2.3244293,2459838.8369,1.0826197,1.393106,0,0,0
0.15,45,0.4,7.0,323.5506,195.98292,136.28443,7.72846,0.5425161,0.5687036400000001,1.4428196,2459951.59209,0.6600667,2.3641118,1,0,0
0.15,10,0.1,9.0,338.07476,173.94758,15.01551,4.60599,0.4130874,0.33604618,2.0489754,2459952.74474,1.2025695,1.5173431,0,0,0
0.15,10,0.13,9.0,262.57022,238.31416,12.459060000000001,8.37905,0.4091605,0.31968207,2.1183149,2460192.27093,1.2515841,1.4800568,0,0,0
0.15,44,0.53,7.0,309.24172,239.00336,278.07233,3.9882,0.5413817,0.34569843,2.010656,2460034.32822,0.9221235999999999,1.5402304,1,0,0
0.15,28,0.30000000000000004,4.0,108.50154,18.76763,338.61991,20.1736,0.1943472,0.55000225,1.4753432,2459690.22526,1.1886144,2.2626158,0,0,0
0.15,55,0.89,3.0,264.71036,268.56451,136.58353,26.75445,0.4796295,0.3716335,1.9159880999999999,2460143.90756,0.9970237,1.6052917999999998,1,0,0
0.15,17,0.33,9.0,86.52629,353.01132,320.09288,5.81816,0.4036391,1.50485084,0.7541778,2459830.00175,0.4497622,1.898162,0,0,0
0.15,50,0.34,5.0,289.98672,207.02012,238.96607,3.97398,0.6075444,0.27329974,2.3516711,2460143.67767,0.9229265,1.3836819999999999,1,0,0
0.15,32,0.9,6.0,344.83037,199.32311,318.31406,35.15144,0.4075687,0.41483377,1.7805464999999998,2459924.06798,1.0548515,1.7267917,0,0,0
0.15,60,0.28,2.0,141.93728,27.42068,80.22714,6.6129999999999995,0.47094719999999995,0.34284648,2.021791,2459473.50329,1.0696342,1.5333963,0,0,0
0.15,22,0.37,7.0,122.28032,94.09789,272.26323,1.67745,0.7067532,0.35062409,1.9917808,2459538.74943,0.5840833,1.5521782,1,0,0
0.15,27,0.43,7.0,52.20468,14.4598,221.43868,16.32299,0.5729358999999999,0.25227839,2.4805578,2459680.5671,1.0593572,1.3440178999999999,0,0,0
0.15,32,0.93,6.0,88.28263,79.96809,211.1762,9.12075,0.1822461,0.96230003,1.0160827,2459795.75872,0.8309055999999999,42.2868508,1,0,0
0.15,53,0.71,5.0,342.6849,261.53062,66.38909,4.04656,0.48442979999999997,0.32103171,2.1123737,2459941.4358,1.0890769,1.4830625,0,0,0
0.15,48,0.68,7.0,354.29241,239.20158,277.1647,15.88575,0.4224158,0.56046031,1.4569326,2459897.68375,0.8415013,2.3182732,1,0,0
0.15,21,0.35000000000000003,9.0,35.71451,323.84366,0.1852,12.28889,0.3202596,1.18963808,0.8821169,2459857.47867,0.5996104999999999,4.8306898,0,0,0
0.15,21,0.41000000000000003,8.0,34.19722,308.78907,49.84587,21.15701,0.319853,0.50094128,1.5701633,2459819.23406,1.0679419,2.0335797,0,0,0
0.15,53,0.4,4.0,318.37739,351.26726,341.06135,7.03732,0.21250329999999998,0.50905274,1.553439,2459969.26483,1.2233281,2.0681932,0,0,0
0.15,27,0.5,7.0,294.09957,161.02945,215.5384,5.94189,0.6675715999999999,0.2248432,2.6784459,2460180.59505,0.8903915,1.295549,1,0,0
0.15,92,0.39,1.0,92.98613,328.00483,173.18087,25.6366,0.2972651,0.67745496,1.2839529,2459750.24196,0.9022785,3.1984392,1,0,0
0.15,42,0.8300000000000001,0.0,177.66256,106.67294,304.76885,8.14697,0.7379762,0.42357435,1.7559667,2459468.06341,0.4601051,1.7536464,1,0,0
0.15,17,0.16,8.0,45.91151,200.86591,142.24565,1.7419600000000002,0.7449041,0.2752493,2.3405535,2459720.70027,0.5970656,1.3874795,1,0,0
0.15,28,0.44,8.0,203.54669,126.0478,81.10534,15.5657,0.677449,0.8824642500000001,1.0764767,2460064.7914,0.3472186,9.5557014,1,0,0
0.15,75,0.37,3.0,150.30676,219.04971,315.32854,2.81539,0.5132071,0.43829446,1.7164272,2459544.56438,0.8355446,1.8008111,1,0,0
0.15,23,0.26,7.0,158.46464,322.68267,208.21503,1.5912000000000002,0.663152,0.25294566,2.4761934,2459261.02284,0.8341008,1.3452419,1,0,0
0.15,782,0.4,0.0,136.77693,345.93052,74.73234,13.84052,0.606761,0.24007219000000002,2.5639417,2459317.76728,1.0082419,1.3220131,0,0,0
0.15,26,0.32,8.0,333.38158,324.39373,60.59347,4.1163,0.5986819,0.46399634,1.6524424999999998,2459944.86774,0.6631551,1.8895442,1,0,0
0.15,136,0.33,0.0,234.25279,268.01951,126.75673,6.67429,0.1425246,0.81565139,1.1344874,2460041.66785,0.972795,5.7991822,1,0,0
0.15,63,0.85,0.0,99.19675,227.05169,37.42371,16.46328,0.6658394999999999,0.1973123,2.9221326999999997,2459384.76018,0.9764613,1.2503025,1,0,0
0.15,32,0.27,6.0,212.32917,343.71767,135.87104,13.16872,0.518914,0.32638671,2.0892051,2460339.94132,1.0050873,1.4951097,0,0,0
0.15,68,0.46,7.0,130.47043,95.89761,13.85882,48.90409,0.630674,0.48012024000000003,1.6152362,2459615.75465,0.5965486999999999,1.9498164,1,0,0
0.15,576,0.46,0.0,69.37043,66.33353,1.9978500000000001,6.03397,0.2036866,0.8248869,1.1260036,2459803.4031,0.8966518,6.1324225,1,0,0
0.15,172,0.35000000000000003,1.0,45.68993,26.14881,350.45508,11.33714,0.561473,0.36618627,1.9349423,2459762.7276,0.8485244,1.5911746999999998,1,0,0
0.15,74,0.75,2.0,35.74584,341.99401,251.0053,27.15644,0.47690099999999996,0.5160705999999999,1.5393238,2459818.23459,0.8052187,2.0991049999999998,1,0,0
0.15,800,0.6900000000000001,0.0,349.63527,220.22368,229.97746,9.78502,0.5086601,0.33983992,2.033698,2459917.99886,0.9992369999999999,1.5262571999999999,1,0,0
0.15,135,0.47000000000000003,1.0,303.97761,339.03278,35.2254,7.86076,0.6415468999999999,0.26474925,2.4020363,2460099.10551,0.8610173999999999,1.3672694,1,0,0
0.15,73,0.38,5.0,343.23487,298.37656,297.86721,3.82367,0.17781349999999999,0.7868516,1.1620037,2459908.8066,0.9553838,4.9588798,1,0,0
0.15,27,1.02,8.0,47.99571,356.38201,163.63285,6.59702,0.5998707999999999,0.1944602,2.9506354999999997,2459640.68492,1.1806354,1.2457951,0,0,0
0.15,439,0.75,0.0,5.46278,70.53895,232.44665,19.44064,0.4933721,0.30451459000000003,2.1880839,2459869.56069,1.1085444,1.4470969,0,0,0
0.15,164,0.73,0.0,228.81033,23.75669,292.22863,32.21385,0.493737,0.43159553,1.7341424,2460191.46441,0.8779321,1.7790362,1,0,0
0.15,54,0.89,5.0,160.88826,233.01555,184.87312,3.02061,0.3186307,0.45807584,1.6666501999999999,2459536.27372,1.1356043,1.8683378,0,0,0
0.15,154,0.51,5.0,197.42622,75.04585,86.94916,25.51242,0.38045039999999997,0.83187954,1.1196847,2460082.92948,0.6937002,6.4113696000000004,1,0,0
0.15,55,0.43,4.0,106.05214,41.69896,224.58597,1.82427,0.42329469999999997,0.43893416,1.7147592,2459645.8871,0.9889106999999999,1.8029182,1,0,0
0.15,34,0.46,5.0,89.79472,255.33038,278.77428,2.74926,0.1518241,0.87473477,1.0828088,2459784.84634,0.9184123,8.8895305,1,0,0
0.15,67,0.68,6.0,319.00427,240.73066,75.04272,7.30807,0.6062767,0.35014278,1.9936056999999998,2460004.58292,0.784929,1.5510026,1,0,0
0.15,98,0.49,0.0,82.70368,108.15132,80.89109,20.26879,0.6216986,0.32394219,2.0997022,2459632.1961,0.7943203,1.4895861,1,0,0
0.15,40,0.46,6.0,2.44322,347.34053,39.15505,1.36737,0.192493,0.73378792,1.2173693,2459884.1704,0.9830342,3.9139410999999997,1,0,0
0.15,26,0.36,9.0,293.60132,287.61683,343.80201,3.04722,0.5672446,0.4312352,1.7351082999999998,2460041.47324,0.7508775,1.7778798999999998,1,0,0
0.15,17,0.44,7.0,84.69695,336.8573,195.08039,7.65912,0.5075213,0.33238507,2.0639937,2459632.6842,1.0164729,1.5088389,0,0,0
0.15,76,0.54,0.0,354.4369,11.16596,39.64505,14.14729,0.5451964,0.24509618,2.5287837,2459910.19763,1.1500999,1.3309823,0,0,0
0.15,86,0.71,2.0,313.45882,274.11282,163.37189,20.51342,0.2391389,0.89213235,1.0686854,2459939.66847,0.8131210999999999,10.5440353,1,0,0
0.15,19,0.33,7.0,320.75534,177.78519,241.52275,5.24475,0.40099049999999997,0.45011903000000003,1.6862338000000001,2459974.6873,1.0100701,1.8405763,0,0,0
0.15,29,0.47000000000000003,7.0,288.17262,90.95536,200.47963,8.14098,0.3053456,0.8177810400000001,1.1325169,2459975.33205,0.7867078,5.8727728,1,0,0
0.15,138,0.30000000000000004,5.0,219.21934,150.8406,249.24644,15.9564,0.43028679999999997,0.39651637,1.8349685999999998,2460242.54382,1.0454058,1.6730983,0,0,0
0.15,30,0.30000000000000004,5.0,282.7209,128.87849,63.1627,1.8818000000000001,0.48232569999999997,0.27534156,2.3400306,2460168.16637,1.2113737,1.3876597,0,0,0
0.15,86,0.36,0.0,291.1907,259.10145,116.41911,5.18859,0.5054894,0.29166914,2.2518652,2460123.41563,1.1135712,1.4203098,0,0,0
